"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"689","RudnPiesnBar_II","1733","1478","3","24","5","0"
"690","SzlachSasRzecz","1733","831","4","21","10","0"
"691","WojPacierzBar_II","1733","324","0","3","2","0"
"692","ZarzLudzRzecz","1734","939","4","21","8","1"
"693","82_GazPol","1736","2082","10","25","10","1"
"694","83_GazPol","1736","1854","4","21","5","3"
"695","90_GazPol","1736","3217","14","21","12","1"
"696","92_GazPol","1736","1998","8","15","11","1"
"697","93_GazPol","1736","1910","8","16","7","4"
"698","94_GazPol","1736","3324","14","40","19","8"
"699","97_GazPol","1736","3124","10","34","5","2"
"700","WojMarsBar_II","1736","143","0","2","0","0"
"701","NiesKor_II","1738","41485","149","432","246","13"
"702","RuchSkarbGeb","1738","1920","0","1","0","0"
"703","SupGniezUl","1738","1421","1","14","0","0"
"704","SzkolRzewGeb","1738","1886","0","7","0","0"
"705","InsWybCla","1739","1576","0","2","0","0"
"706","JewPriv_II_Lubar","1739","619","2","5","2","1"
"707","KonstGrod","1739","1436","2","10","1","1"
"708","KonstLub","1739","8918","22","76","9","12"
"709","KonstLubLit","1739","5725","9","52","5","8"
"710","KonstWarsz","1739","1702","1","8","2","2"
"711","InwObrazZolkGeb","1740","6140","0","19","0","0"
"712","LubSwiat","1740","56837","167","782","265","0"
"713","DunKwal","1741","17902","46","303","43","152"
"714","JewPriv_II_Fram","1741","354","1","1","1","0"
"715","UrfeRubJanAwan","1741","30087","457","769","457","15"
"716","BystrzInfArch","1743","11413","12","173","14","3"
"717","BystrzInfArchW","1743","8034","22","111","10","8"
"718","BystrzInfArtyl","1743","5408","26","87","8","15"
"719","BystrzInfAstrol","1743","10246","10","188","178","28"
"720","BystrzInfAstron","1743","12497","32","286","47","73"
"721","BystrzInfChron","1743","6217","7","129","50","12"
"722","BystrzInfCosm","1743","27560","46","586","166","96"
"723","BystrzInfElem","1743","9816","18","239","15","47"
"724","BystrzInfGeogr","1743","29987","47","404","61","79"
"725","BystrzInfHydr","1743","6078","12","105","16","29"
"726","BystrzInfPolem","1743","2886","9","64","5","3"
"727","BystrzInfRozn","1743","7180","20","96","20","13"
"728","BystrzInfStat","1743","3831","2","69","3","3"
"729","BystrzInfTak","1743","3243","13","51","5","2"
"730","BystrzInfZup","1743","10474","16","146","43","48"
"731","HumListRzecz","1743","408","2","6","4","0"
"732","InsGor_3","1743","43255","97","802","143","3"
"733","RadzKwest","1743","22976","55","449","323","8"
"734","DunCiek","1744","5182","3","80","4","31"
"735","ChmielAteny_I","1745","272493","970","3534","2101","173"
"736","DanOstSwada","1745","25942","72","311","182","12"
"737","UmFenRzezGeb","1745","947","0","13","0","4"
"738","WypARzewGeb","1745","1919","0","1","0","0"
"739","ChmielAteny_II","1746","206909","794","2222","985","70"
"740","JawJon","1746","14110","12","228","86","1"
